WARN [10-01|16:15:26] No etherbase set and no accounts found as default 
INFO [10-01|16:15:26] Starting peer-to-peer node               instance=Geth/v1.6.7-stable-ab5646c5/darwin-amd64/go1.8.3
INFO [10-01|16:15:26] Allocated cache and file handles         database=/Users/cbuonocore/Library/Ethereum/geth/chaindata cache=128 handles=1024
INFO [10-01|16:15:26] Initialised chain configuration          config="{ChainID: 1 Homestead: 1150000 DAO: 1920000 DAOSupport: true EIP150: 2463000 EIP155: 2675000 EIP158: 2675000 Metropolis: 9223372036854775807 Engine: ethash}"
INFO [10-01|16:15:26] Disk storage enabled for ethash caches   dir=/Users/cbuonocore/Library/Ethereum/geth/ethash count=3
INFO [10-01|16:15:26] Disk storage enabled for ethash DAGs     dir=/Users/cbuonocore/.ethash                      count=2
INFO [10-01|16:15:26] Initialising Ethereum protocol           versions="[63 62]" network=1
INFO [10-01|16:15:26] Loaded most recent local header          number=26496 hash=8e66bf…4a388e td=17454322920559393
INFO [10-01|16:15:26] Loaded most recent local full block      number=0     hash=d4e567…cb8fa3 td=17179869184
INFO [10-01|16:15:26] Loaded most recent local fast block      number=26496 hash=8e66bf…4a388e td=17454322920559393
INFO [10-01|16:15:26] Starting P2P networking 
INFO [10-01|16:15:29] UDP listener up                          self=enode://70ba0111e5a41bec3373772b3c41185b0cf2e2d4ced860bf0ef05fbbefc108cbd8e25ecea928f9cc7455e52cabcb1740243600b3aedf8703e917ec36c9d9e985@[::]:30303
INFO [10-01|16:15:29] RLPx listener up                         self=enode://70ba0111e5a41bec3373772b3c41185b0cf2e2d4ced860bf0ef05fbbefc108cbd8e25ecea928f9cc7455e52cabcb1740243600b3aedf8703e917ec36c9d9e985@[::]:30303
INFO [10-01|16:15:29] IPC endpoint opened: /Users/cbuonocore/Library/Ethereum/geth.ipc 
INFO [10-01|16:15:49] Block synchronisation started 
INFO [10-01|16:15:51] Imported new state entries               count=1 flushed=0 elapsed=285.944µs processed=1 pending=17 retry=0 duplicate=0 unexpected=0
INFO [10-01|16:15:51] Imported new state entries               count=2 flushed=0 elapsed=466.756µs processed=3 pending=49 retry=0 duplicate=0 unexpected=0
INFO [10-01|16:15:53] Imported new state entries               count=13 flushed=0 elapsed=2.386ms   processed=16 pending=257 retry=0 duplicate=0 unexpected=0
INFO [10-01|16:15:53] Imported new block headers               count=192 elapsed=22.818ms  number=26688 hash=486883…9f02bd ignored=0
INFO [10-01|16:15:53] Imported new block receipts              count=12  elapsed=5.520ms   number=26508 hash=3a9a5d…37f164 ignored=0
INFO [10-01|16:15:53] Imported new state entries               count=25  flushed=0 elapsed=3.912ms   processed=41 pending=657 retry=0 duplicate=0 unexpected=0
INFO [10-01|16:15:56] Imported new block headers               count=192 elapsed=18.338ms  number=26880 hash=ee37c0…c99af5 ignored=0
INFO [10-01|16:15:56] Imported new block receipts              count=20  elapsed=2.184ms   number=26528 hash=54c448…0f53ca ignored=0
INFO [10-01|16:15:57] Imported new state entries               count=166 flushed=0 elapsed=16.091ms  processed=207 pending=3311 retry=0 duplicate=0 unexpected=0
INFO [10-01|16:15:59] Imported new state entries               count=224 flushed=2 elapsed=10.913ms  processed=431 pending=4681 retry=0 duplicate=0 unexpected=0
INFO [10-01|16:16:01] Imported new state entries               count=384 flushed=292 elapsed=5.857ms   processed=815 pending=4600 retry=0 duplicate=0 unexpected=0
INFO [10-01|16:16:03] Imported new state entries               count=384 flushed=394 elapsed=5.698ms   processed=1199 pending=4361 retry=0 duplicate=0 unexpected=0
INFO [10-01|16:16:04] Imported new state entries               count=384 flushed=374 elapsed=5.483ms   processed=1583 pending=4165 retry=0 duplicate=0 unexpected=0
INFO [10-01|16:16:05] Imported new state entries               count=384 flushed=315 elapsed=9.859ms   processed=1967 pending=5061 retry=0 duplicate=0 unexpected=0
INFO [10-01|16:16:06] Imported new state entries               count=384 flushed=360 elapsed=6.104ms   processed=2351 pending=4920 retry=0 duplicate=0 unexpected=0
INFO [10-01|16:16:08] Imported new state entries               count=384 flushed=433 elapsed=6.137ms   processed=2735 pending=4612 retry=0 duplicate=0 unexpected=0
INFO [10-01|16:16:11] Imported new state entries               count=283 flushed=192 elapsed=4.472ms   processed=3018 pending=4598 retry=0 duplicate=0 unexpected=0
INFO [10-01|16:16:13] Imported new state entries               count=384 flushed=386 elapsed=6.125ms   processed=3402 pending=4403 retry=0 duplicate=0 unexpected=0
INFO [10-01|16:16:14] Imported new block receipts              count=352 elapsed=17.905ms  number=26880 hash=ee37c0…c99af5 ignored=0
INFO [10-01|16:16:15] Imported new state entries               count=378 flushed=1   elapsed=16.125ms  processed=3780 pending=6762 retry=6 duplicate=0 unexpected=0
INFO [10-01|16:16:15] Imported new state entries               count=378 flushed=276 elapsed=6.102ms   processed=4158 pending=6679 retry=6 duplicate=0 unexpected=0
INFO [10-01|16:16:15] Imported new state entries               count=378 flushed=349 elapsed=6.215ms   processed=4536 pending=6508 retry=6 duplicate=0 unexpected=0
INFO [10-01|16:16:15] Imported new state entries               count=378 flushed=388 elapsed=5.679ms   processed=4914 pending=6336 retry=6 duplicate=0 unexpected=0
INFO [10-01|16:16:16] Imported new state entries               count=378 flushed=426 elapsed=8.202ms   processed=5292 pending=6094 retry=6 duplicate=0 unexpected=0
INFO [10-01|16:16:16] Imported new state entries               count=378 flushed=390 elapsed=5.960ms   processed=5670 pending=5897 retry=6 duplicate=0 unexpected=0
INFO [10-01|16:16:16] Imported new state entries               count=384 flushed=279 elapsed=12.436ms  processed=6054 pending=6928 retry=0 duplicate=0 unexpected=0
INFO [10-01|16:16:16] Imported new state entries               count=378 flushed=423 elapsed=3.520ms   processed=6432 pending=6660 retry=6 duplicate=0 unexpected=0
INFO [10-01|16:16:16] Imported new state entries               count=378 flushed=415 elapsed=4.716ms   processed=6810 pending=6377 retry=6 duplicate=0 unexpected=0
INFO [10-01|16:16:16] Imported new state entries               count=378 flushed=344 elapsed=7.008ms   processed=7188 pending=6257 retry=6 duplicate=0 unexpected=0
INFO [10-01|16:16:16] Imported new state entries               count=378 flushed=401 elapsed=5.920ms   processed=7566 pending=6069 retry=6 duplicate=0 unexpected=0
INFO [10-01|16:16:17] Imported new state entries               count=378 flushed=421 elapsed=5.196ms   processed=7944 pending=5812 retry=6 duplicate=0 unexpected=0
INFO [10-01|16:16:17] Imported new state entries               count=378 flushed=430 elapsed=6.445ms   processed=8322 pending=5535 retry=6 duplicate=0 unexpected=0
INFO [10-01|16:16:17] Imported new state entries               count=378 flushed=395 elapsed=8.298ms   processed=8700 pending=5348 retry=6 duplicate=0 unexpected=0
INFO [10-01|16:16:17] Imported new state entries               count=378 flushed=409 elapsed=6.740ms   processed=9078 pending=5368 retry=6 duplicate=0 unexpected=0
INFO [10-01|16:16:17] Imported new state entries               count=378 flushed=177 elapsed=16.050ms  processed=9456 pending=6708 retry=6 duplicate=0 unexpected=0
INFO [10-01|16:16:17] Imported new state entries               count=378 flushed=315 elapsed=4.111ms   processed=9834 pending=6548 retry=6 duplicate=0 unexpected=0
INFO [10-01|16:16:17] Imported new state entries               count=378 flushed=441 elapsed=4.679ms   processed=10212 pending=6228 retry=6 duplicate=0 unexpected=0
INFO [10-01|16:16:18] Imported new state entries               count=378 flushed=444 elapsed=3.354ms   processed=10590 pending=5881 retry=6 duplicate=0 unexpected=0
INFO [10-01|16:16:18] Imported new state entries               count=378 flushed=431 elapsed=4.105ms   processed=10968 pending=5544 retry=6 duplicate=0 unexpected=0
INFO [10-01|16:16:18] Imported new state entries               count=378 flushed=435 elapsed=3.317ms   processed=11346 pending=5215 retry=6 duplicate=0 unexpected=0
INFO [10-01|16:16:18] Imported new state entries               count=378 flushed=508 elapsed=6.073ms   processed=11724 pending=4832 retry=6 duplicate=0 unexpected=0
INFO [10-01|16:16:18] Imported new state entries               count=378 flushed=411 elapsed=5.067ms   processed=12102 pending=4564 retry=6 duplicate=0 unexpected=0
INFO [10-01|16:16:18] Imported new state entries               count=384 flushed=345 elapsed=7.106ms   processed=12486 pending=4703 retry=0 duplicate=0 unexpected=0
INFO [10-01|16:16:18] Imported new state entries               count=378 flushed=411 elapsed=9.862ms   processed=12864 pending=4606 retry=6 duplicate=0 unexpected=0
INFO [10-01|16:16:18] Imported new state entries               count=377 flushed=464 elapsed=5.213ms   processed=13241 pending=4269 retry=7 duplicate=0 unexpected=0
INFO [10-01|16:16:19] Imported new state entries               count=376 flushed=217 elapsed=11.636ms  processed=13617 pending=5400 retry=8 duplicate=0 unexpected=0
INFO [10-01|16:16:19] Imported new state entries               count=376 flushed=365 elapsed=5.307ms   processed=13993 pending=5220 retry=8 duplicate=0 unexpected=0
INFO [10-01|16:16:19] Imported new state entries               count=376 flushed=393 elapsed=5.742ms   processed=14369 pending=4974 retry=8 duplicate=0 unexpected=0
INFO [10-01|16:16:19] Imported new state entries               count=376 flushed=419 elapsed=5.913ms   processed=14745 pending=4699 retry=8 duplicate=0 unexpected=0
INFO [10-01|16:16:19] Imported new state entries               count=278 flushed=246 elapsed=8.852ms   processed=15023 pending=5023 retry=0 duplicate=0 unexpected=0
INFO [10-01|16:16:19] Imported new state entries               count=376 flushed=401 elapsed=5.459ms   processed=15399 pending=4788 retry=8 duplicate=0 unexpected=0
INFO [10-01|16:16:19] Imported new state entries               count=376 flushed=387 elapsed=4.930ms   processed=15775 pending=4591 retry=8 duplicate=0 unexpected=0
INFO [10-01|16:16:19] Imported new state entries               count=375 flushed=411 elapsed=4.475ms   processed=16150 pending=4347 retry=9 duplicate=0 unexpected=0
INFO [10-01|16:16:20] Imported new state entries               count=375 flushed=409 elapsed=5.654ms   processed=16525 pending=4206 retry=9 duplicate=0 unexpected=0
INFO [10-01|16:16:20] Imported new state entries               count=372 flushed=330 elapsed=9.781ms   processed=16897 pending=4653 retry=12 duplicate=0 unexpected=0
INFO [10-01|16:16:20] Imported new state entries               count=372 flushed=370 elapsed=6.214ms   processed=17269 pending=4448 retry=12 duplicate=0 unexpected=0
INFO [10-01|16:16:20] Imported new state entries               count=372 flushed=402 elapsed=7.200ms   processed=17641 pending=4210 retry=12 duplicate=0 unexpected=0
INFO [10-01|16:16:20] Imported new state entries               count=372 flushed=353 elapsed=7.525ms   processed=18013 pending=4100 retry=12 duplicate=0 unexpected=0
INFO [10-01|16:16:20] Imported new state entries               count=371 flushed=345 elapsed=8.969ms   processed=18384 pending=4611 retry=13 duplicate=0 unexpected=0
INFO [10-01|16:16:21] Imported new state entries               count=371 flushed=329 elapsed=5.930ms   processed=18755 pending=4498 retry=13 duplicate=0 unexpected=0
INFO [10-01|16:16:21] Imported new state entries               count=384 flushed=204 elapsed=13.070ms  processed=19139 pending=5671 retry=0  duplicate=0 unexpected=0
INFO [10-01|16:16:21] Imported new state entries               count=371 flushed=425 elapsed=7.242ms   processed=19510 pending=5395 retry=13 duplicate=0 unexpected=0
INFO [10-01|16:16:21] Imported new state entries               count=371 flushed=319 elapsed=3.997ms   processed=19881 pending=5224 retry=13 duplicate=0 unexpected=0
INFO [10-01|16:16:21] Imported new state entries               count=15  flushed=0   elapsed=753.143µs processed=19896 pending=5296 retry=369 duplicate=0 unexpected=0
INFO [10-01|16:16:21] Imported new state entries               count=371 flushed=450 elapsed=4.034ms   processed=20267 pending=4947 retry=13  duplicate=0 unexpected=0
INFO [10-01|16:16:21] Imported new state entries               count=371 flushed=390 elapsed=3.356ms   processed=20638 pending=4681 retry=13  duplicate=0 unexpected=0
INFO [10-01|16:16:21] Imported new state entries               count=371 flushed=542 elapsed=5.877ms   processed=21009 pending=4257 retry=13  duplicate=0 unexpected=0
INFO [10-01|16:16:21] Imported new state entries               count=371 flushed=427 elapsed=7.046ms   processed=21380 pending=3981 retry=13  duplicate=0 unexpected=0
INFO [10-01|16:16:22] Imported new state entries               count=369 flushed=372 elapsed=7.598ms   processed=21749 pending=4070 retry=15  duplicate=0 unexpected=0
INFO [10-01|16:16:22] Imported new state entries               count=369 flushed=394 elapsed=5.069ms   processed=22118 pending=3848 retry=15  duplicate=0 unexpected=0
INFO [10-01|16:16:22] Imported new state entries               count=368 flushed=295 elapsed=9.304ms   processed=22486 pending=4324 retry=16  duplicate=0 unexpected=0
INFO [10-01|16:16:22] Imported new state entries               count=368 flushed=385 elapsed=6.146ms   processed=22854 pending=4095 retry=16  duplicate=0 unexpected=0
INFO [10-01|16:16:22] Imported new state entries               count=368 flushed=409 elapsed=6.311ms   processed=23222 pending=3842 retry=16  duplicate=0 unexpected=0
INFO [10-01|16:16:22] Imported new state entries               count=368 flushed=373 elapsed=7.202ms   processed=23590 pending=3750 retry=16  duplicate=0 unexpected=0
INFO [10-01|16:16:22] Imported new state entries               count=367 flushed=326 elapsed=10.581ms  processed=23957 pending=4075 retry=17  duplicate=0 unexpected=0
INFO [10-01|16:16:23] Imported new state entries               count=367 flushed=403 elapsed=5.945ms   processed=24324 pending=3816 retry=401 duplicate=0 unexpected=0
INFO [10-01|16:16:23] Imported new state entries               count=384 flushed=365 elapsed=5.551ms   processed=24708 pending=3598 retry=16  duplicate=0 unexpected=0
INFO [10-01|16:16:23] Imported new state entries               count=366 flushed=14  elapsed=18.734ms  processed=25074 pending=5847 retry=18  duplicate=0 unexpected=0
INFO [10-01|16:16:23] Imported new state entries               count=366 flushed=300 elapsed=5.968ms   processed=25440 pending=5714 retry=18  duplicate=0 unexpected=0
INFO [10-01|16:16:23] Imported new state entries               count=366 flushed=362 elapsed=6.146ms   processed=25806 pending=5493 retry=19  duplicate=0 unexpected=0
INFO [10-01|16:16:24] Imported new state entries               count=365 flushed=364 elapsed=5.257ms   processed=26171 pending=5320 retry=19  duplicate=0 unexpected=0
